,0
0,44646468.0
1,9100000.0
2,1137791.0
3,10050000.0
4,324844523.3832683
5,500000.0
6,1428145244.0
7,1908269514.0
8,91628246.0
9,3534074.0
10,100100000.0
11,1137787.0
12,77000000.0
13,1000.0
14,8100000.0
15,1142809.0
16,9000000.0
17,38838426.0
18,79000000.0
19,1000000.0
20,308000000.0
21,47050000.0
22,41927506.0
23,140000000.0
24,551651804.0
25,5381853.0
26,366798741.0
27,1137418.0
28,884592279.5509814
29,4850000.0
30,100004.00059688708
31,101999999.00509731
32,100000.0
33,112264619.0
34,5057185.0
35,127010951.9895128
36,117412053.0
37,1020000.0
38,5900000.0
39,0.5686845140215383
40,1142493.0
41,122300000.0
42,90000.0
43,303010000.0
44,1137403.0
45,1135317.0
46,215747181.0
47,294326734.0
48,3023235306.338251
49,1017987114.0
50,308856603.02109146
51,106992500.0
52,242393127.0
53,1137791.0
54,232017777.0
55,600000000.0
56,10050000.0
57,200000000.0
58,190677272.0
59,255721560.02571318
60,105880314.0
61,124821161.37040213
62,100200000.0
63,509738444.0
64,22880000.0
65,12000100.009851985
66,430494950.0001
67,161697941.0
68,9020000.0
69,5422575175.0
70,14000000.0
71,121074999.0
72,88000000.0
73,100004.00059688708
74,540000000.0
75,1574568414.0
76,100004.00059688708
77,494351682.0
78,64470000.0
79,1010000.0
80,860000001.0315787
81,5352340532.0
82,500050.004918108
83,105921821.0
84,3150000000.0
85,49093049.0
86,3950102088.0
87,1020000.0
88,1135139.0
89,121011695.0
90,2200000.0
91,170000000.0
92,1175572631.0739598
93,53687934.00213006
94,19626987.0
95,1000000.0
96,170017001.67445013
97,201799999.00191855
98,1020102.0100748006
99,105300000.0
100,426076647.32529515
101,1020000.0
102,25000000.0
103,1000000.0
104,3000000.0
105,500000000.0
106,400238017.0
107,652201234.0
108,13150225.022200985
109,1142492.0
110,1020408.1018196548
111,2488247652.8921356
112,105000000.0
113,100004.00059688708
114,121702600.50741382
115,500000.0
116,2000000.0
117,100004.00059688708
118,0.019189468536721547
119,152500.0
120,1020000.0
121,122790519.0
122,115324966.0
123,1040000.0
124,138978197.66707462
125,8861722.0
126,1040000.0
127,737525631.023042
128,96500000.0
129,90000.0
130,58000000.0
131,23652803.0
132,39995481.0
133,100500000.0
134,10066940.081716683
135,1087742500.0
136,225935250.0
137,100890688.0
138,1372501356.0027509
139,1248035003.3510795
140,120485629.00383472
141,15890584.0
142,585006800.6517401
143,130.0
144,240788686.424854
145,5700000.0
146,47808999.00173969
147,500000.0
148,66511436.0026334
149,146837930.0001784
150,1030103.0101259343
151,100004.00059688708
152,20000000.0
153,130000.0
154,6200000.0
155,348040161.0
156,27200000.0
157,100002.0001990011
158,1000000.0
159,22002500.0
160,202945929.0
161,51300000.0
162,1020000.0
163,340000.0
164,56881257.0
165,1116750000.0
166,27305112.00040354
167,10050000.0
168,11000000.0
169,3000000.0
170,112880122.0
171,10000000.0
172,20914881.0
173,210819002.9938483
174,1040416.1038161187
175,106776231.0
176,22222644.0
177,22500005.0
178,360259272.0180382
179,214423693.0
180,100002.0001975451
181,42060474.986013725
182,1135500.0
183,89100000.0
184,50300455.044941515
185,5000000.0
186,53000300.02975731
187,1004024392.0
188,1000000.0
189,16625575058.978281
190,100070000.0
191,103780308.0
192,68450000.0
193,145315656.0
194,102809278.0
195,102300023.0
196,151781489.02036238
197,185904159.0
198,1000000.0
199,2000000.0
200,56446466.0
201,2500000.0
202,63000000.0
203,1030000.0
204,1000000.0
205,2159462.333869569
206,190920293.0
207,102608602.1461986
208,707153291.0
209,1142809.0
210,103500000.0
211,2500.0
212,36004997.0
213,1020000.0
214,1040104.0102723457
215,1768779840.7815418
216,878287633.0
217,1161919902.006704
218,26000170.016878
219,114000000.0
220,389014977.0
221,30000000.0
222,100004.00059688708
223,50486250.0
224,700000000.0
225,150254419.00242898
226,100000000.0
227,2524726449.0
228,20500000.0
229,458185534.0
230,129300000.0
231,537119383.0
232,475472500.0067418
233,22500200.019905843
234,17039128.0
235,340100000.0
236,1040416.1038161187
237,31503698.0
238,625221085.102424
239,355000000.0
240,12360000.0
241,100004.00059688708
242,1040104.0102723457
243,116394399.0
244,111100000.0
245,29001200.117418315
246,104570707.0
247,191000000.0
248,100624728.0
249,71988000.62897705
250,1137418.0
251,327703312.0
252,221293453.06155372
253,263000000.0
254,2500000000.0
255,401855031.0
256,1100.0
257,1864421170.0
258,35839368.0
259,1010000.0
260,15500000.0
261,1140440.0
262,30841386.0
263,1144093.0
264,718221250.389035
265,218768260.0
266,4600747.0
267,14710000.0
268,35000000.0
269,81108303.0
270,843854909.0
271,340884857.0
272,100004.00059688708
273,1166803.0
274,400000.0
275,100004.00059688708
276,173500000.0
277,2156000.0
278,400000.0
279,430016997.96819186
280,58192500.0
281,18220576.08836715
282,120112832.33148696
283,246075656.56480578
284,106000000.0
285,3030914.0
286,77231397.0
287,1030000200.019926
288,159650324.60575122
289,116282063.0
290,1000000.0
291,101670051.00506064
292,1052000000.0
293,1675538287.0
294,20000000.0
295,548021002.0600545
296,230402040.20001164
297,121757835.0
298,110000000.0
299,24400330.03276551
300,126669640.00332154
301,327755799.0
302,205000000.0
303,20804999.0
304,8315163.0
305,250027000.76862442
306,215000000.0
307,152479883.3092289
308,10000000.0
309,1020000.0
310,102000000.0
311,1758000000.0
312,50405527.10584783
313,1040000.0
314,137893727.0
315,155350000.0
316,167359190.0
317,230550000.0
318,209000000.0092691
319,70000.0
320,28644700.0
321,504818146.0
322,66500000.0
323,1135140.0
324,1040000.0
325,10600915.0
326,508708272.024076
327,200000000.0
328,32101051.0
329,214355221.52929145
330,295350000.0
331,58393828.0
332,1040000.0
333,200000000.0
334,330000.0
335,1021000.0
336,19151840.00978781
337,15800000.0
338,1135139.0
339,357470805.35328835
340,101377871.0
341,28892333.0
342,399904062.0
343,1040000.0
344,1000050736.0189492
345,1140092.0
346,0.006901699922800586
347,1116206724.0361533
348,1040416.1038161187
349,1840079595.0
350,5390485.0
351,50000000.0
352,100200000.0
353,250064502.00023165
354,23762751.00015927
355,34471319.93748884
356,139268155.0
357,105807041.84687725
358,15302473087.371744
359,219350532.0
360,115000000.0
361,220551309.0
362,60265193.0
363,22600000.0
364,792000000.0
365,170068016.97009346
366,10000000.0
367,20002001623.0
368,15934473.0
369,20000000.0
370,323006700.690172
371,178000000.0
372,2000200.0198002674
373,11300300.029535532
374,274128009.0
375,2385318.0
376,5800580.056026876
377,6979652.0
378,50330503.0
379,51412946.28516097
380,116000300.02940412
381,1120402360.0333343
382,1144095.0
383,1140439.0
384,1137791.0
385,4653695.0
386,75938318.0
387,10101.010098864337
388,106054001.3898273
389,2200000000.0
390,17279125.0
391,1144092.0
392,1020102.0100276243
393,39058066.67021653
394,13911085.0
395,1040000.0
396,63791147.0
397,67293255.31385125
398,145649414.0
399,100000000.0
400,111065120.0
401,27207499.053615637
402,103683868.0
403,219248132.0
404,101000000.0
