
./snapshots/fetchhub2023-04-08_10-42-26.csv,2023-04-08,fetchhub,2.420949449734114e+24,305
./snapshots/impacthub2023-04-08_10-42-51.csv,2023-04-08,impacthub,106347064997.0,130
./snapshots/injective2023-04-08_10-42-52.csv,2023-04-08,injective,1e+18,1
./snapshots/jackal2023-04-08_10-42-53.csv,2023-04-08,jackal,861321983611.0,720
./snapshots/juno2023-04-08_10-42-58.csv,2023-04-08,juno,419924055816.0,14901
./snapshots/kava2023-04-08_10-42-59.csv,2023-04-08,kava,25791982055.473415,290
./snapshots/kichain2023-04-08_10-43-00.csv,2023-04-08,kichain,177402443429.50104,64
./snapshots/kujira2023-04-08_10-43-03.csv,2023-04-08,kujira,761581462074.0,2901
./snapshots/lumnetwork2023-04-08_10-43-06.csv,2023-04-08,lumnetwork,26941612064410.0,283
./snapshots/meme2023-04-08_10-43-09.csv,2023-04-08,meme,285975378746412.0,4779
./snapshots/migaloo2023-04-08_10-43-21.csv,2023-04-08,migaloo,2398343294908.0,227
./snapshots/oraichain2023-04-08_10-43-22.csv,2023-04-08,oraichain,1008261413.0,190
./snapshots/persistence2023-04-08_10-44-20.csv,2023-04-08,persistence,696943237562.0,132
./snapshots/rebus2023-04-08_10-44-24.csv,2023-04-08,rebus,2.238832111677058e+24,3841
./snapshots/rizon2023-04-08_10-44-24.csv,2023-04-08,rizon,7895215259.315525,26
./snapshots/shentu2023-04-08_10-44-25.csv,2023-04-08,shentu,93201214149.0,37
./snapshots/sifchain2023-04-08_10-44-26.csv,2023-04-08,sifchain,2.722704592005309e+25,934
./snapshots/stride2023-04-08_10-44-29.csv,2023-04-08,stride,77041180289.0,1612
./snapshots/teritori2023-04-08_10-44-31.csv,2023-04-08,teritori,1353840042886.0,997
./snapshots/vidulum2023-04-08_10-44-33.csv,2023-04-08,vidulum,20278193845.0,51
